City Name,Zone Name,Ward Name,Ward No.,Area (in sq km),Total Population (in thousands),Population - Male (in thousands),Population - female (in thousands),population - children aged 0-14 (in thousands),Population - youth aged 15-24 (in thousands),Population - adults aged 25-60 (in thousands),Population - Senior citizens aged 60+ (in thousands)
Bengaluru,East,Kaval Bairasandra,166,1.1,27040,13619,13421,2473,NA,NA,NA
Bengaluru,East,Manorayana Palya,167,1.2,32756,16532,16224,2604,NA,NA,NA
Bengaluru,East,Gangenahalli,168,1.7,28353,14172,14181,2265,NA,NA,NA
Bengaluru,West,Aramane Nagara,169,0.9,32066,16296,15770,3316,NA,NA,NA
Bengaluru,West,Mattikere,170,1,33927,17282,16645,3550,NA,NA,NA
Bengaluru,Rajarajeswari Nagar,Yeshwanthpura,171,0.7,48991,25325,23666,6622,NA,NA,NA
Bengaluru,Rajarajeswari Nagar,HMT Ward,172,1.2,42624,23282,19342,4190,NA,NA,NA
Bengaluru,Dasarahalli,Chokkasandra,173,1.5,33521,18009,15512,3224,NA,NA,NA
Bengaluru,Rajarajeswari Nagar,Dodda Bidarakallu,174,7.1,63033,32656,30377,7796,NA,NA,NA
Bengaluru,Dasarahalli,Peenya Industrial Area,175,1.8,43585,23005,20580,5041,NA,NA,NA
Bengaluru,Rajarajeswari Nagar,Lakshmi Devi Nagar,176,2.1,52250,27937,24313,5420,NA,NA,NA
Bengaluru,West,Nandini Layout,177,1.8,28846,14679,14167,2503,NA,NA,NA
Bengaluru,West,Marappana Palya,178,1.3,31034,15864,15170,2590,NA,NA,NA
Bengaluru,West,Malleshwaram,179,1.9,25871,13179,12692,1915,NA,NA,NA
Bengaluru,East,Jayachamarajendra Nagar,180,0.7,42171,21525,20646,5303,NA,NA,NA
Bengaluru,East,Devara Jeevanahalli,181,1.8,47182,24414,22768,4535,NA,NA,NA
Bengaluru,East,Muneshwara Nagar,182,1.7,41037,20855,20182,3831,NA,NA,NA
Bengaluru,East,Lingarajapura,183,1.1,43364,22206,21158,4392,NA,NA,NA
Bengaluru,East,Benniganahalli,184,9.9,57209,29935,27274,6415,NA,NA,NA
Bengaluru,Mahadevapura,Vijnanapura,185,1.6,46943,24623,22320,5450,NA,NA,NA
Bengaluru,Mahadevapura,KR Puram,186,1.3,38294,20044,18250,4064,NA,NA,NA
Bengaluru,Mahadevapura,Basavanapura,187,2.9,49207,25666,23541,5798,NA,NA,NA
